RxNorm (RxCUI),Ingredient Name,Form,Supplemental information,Personal Protective Equipment,DailyMed,DrugBank
42736,dexrazoxane,injectable,"FDA Pregnancy CategoryC; secondary malignancies observed in patients treated	long term with Razoxane (a	racemic mixture containing	dexrazoxane); genotoxic in	vitro and in vivo; in laboratory studies| testicular atrophy observed at or below the human dose",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dexrazoxane,http://www.drugbank.ca/drugs/DB00380
3390,diethylstilbestrol,oral tablet,IARC Group 1 carcinogen; NTP**; FDA Pregnancy Category X,,,http://www.drugbank.ca/drugs/DB00255
11118,divalproex,oral tablet & injectable,"Black Box warning for teratogenicity; FDA Pregnancy Category D; tumors seen in laboratory studies at doses below MRHD	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=divalproex,http://www.drugbank.ca/drugs/DB00313
306266,entecavir,oral tablet,FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=046e61c9-9298-4b2e-b76e-b26b81fecd20,http://www.drugbank.ca/drugs/DB00442
4083,estradiol,oral and injectablet,"Black Box warning for malignant neoplasms; increased risk of endometrial cancer| breast cancer| and ovarian cancer; in	laboratory studies| increased frequency of carcinomas of the breast| uterus| cervix| vagina| testis| and liver; present	in breast milk; FDA Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=estradiol,http://www.drugbank.ca/drugs/DB00783
692987,estrogen/ progesterone combinations,,"IARC Group 1 carcinogen; NTP**; FDA Pregnancy Cat-	egory X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=estradiol,
4099,estrogens| conjugated,oral tablet,"Black Box warning for endometrial cancer and cardiovascular risks; long-term use in	women and laboratory studies increases frequency of several	cancers; NTP**; FDA Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=estrogen,http://www.drugbank.ca/drugs/DB00286
214549,estrogens| esterified,oral tablet,"Black Box warning for endometrial cancer and cardio-	vascular risks; NTP**; FDA	Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=estrogen,http://www.drugbank.ca/drugs/DB09381
33747,estropipate,oral tablet,"Black Box warning for endometrial carcinoma in post-menopausal women and	use during pregnancy; FDA Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=estropipate,http://www.drugbank.ca/drugs/DB04574
1012892,fingolimod,oral tablet,"FDA Pregnancy Category C; in laboratory studies| increased malformations and embryo-fetal deaths at less than the recommended human	dose; malignant lymphomas observed in male and female	mice	",,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cc9e1c8c-0e2b-44e2-878b-27057f786be9,http://www.drugbank.ca/drugs/DB08868
4494,fluoxymesterone,oral tablet,Tumors in mice and rats andpossibly humans; FDA Preg-nancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=fluoxymesterone,http://www.drugbank.ca/drugs/DB01185
72236,fosphenytoin,injectable,Metabolized to phenytoin;FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=fosphenytoin,http://www.drugbank.ca/drugs/DB01320
4678,ganciclovir,oral tablet & injectable,FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ganciclovir,http://www.drugbank.ca/drugs/DB01004
27169,leflunomide,oral tablet,Teratogenic in laboratorystudies at 1/10 human dose(HD); marked postnatal survival at 1/100 HD; FDA Pregnancy Category X; severe liver injury reported in patients; carcinogenicity observed at doses below HD,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=leflunomide,http://www.drugbank.ca/drugs/DB01097
342369,lenalidomide,oral tablet,"Analog of thalidomide; FDABlack Box warnings for limb abnormalities; Pregnancy Category X; in laboratory studies| caused thalidomide-type limb	defects in monkey offspring",,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5fa97bf5-28a2-48f1-8955-f56012d296be,http://www.drugbank.ca/drugs/DB00480
475968,liraglutide recombinant,injectable,"FDA Pregnancy Category C; Black Box warning for thyroid C-cell tumors| with supporting evidence in laboratory studies; also in laboratory studies|	teratogenic at or below the	MRHD",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=liraglutide,http://www.drugbank.ca/drugs/DB06655
1000112,medroxyprogesterone acetate,oral tablet,IARC Group 2B; FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=medroxyprogesterone,http://www.drugbank.ca/drugs/DB00603
6835,methimazole,oral tablet,Appears in human breast milk;FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=methimazole,http://www.drugbank.ca/drugs/DB00763
1367839,mipomersen,injectable,Black Box warning on hepa-totoxicity; FDA Pregnancy Category B,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=34de65be-f110-4000-a0f1-cb00ec98658f,http://www.drugbank.ca/drugs/DB05528
68149,mycophenolate mofetil,oral tablet & injectable,"Black Box warning for embryo fetal toxicity| malignancies| and serious infections; increased risk of first-trimester pregnancy loss and increased	risk of congenital malformations; FDA Pregnancy Category D; Special warning: Tablets should not be crushed	and capsules should not be	opened or crushed. Avoid inhalation or direct contact with	skin or mucous membranes of the powder contained in	capsules and oral suspension (before or after constitution). If such contact occurs| wash thoroughly with soap and water; rinse eyes with plain	water.",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mycophenolate+mofetil,http://www.drugbank.ca/drugs/DB00688
7145,mycophenolic acid,oral tablet,"Black Box warning for first trimester pregnancy loss and an increased risk of congenital malformations; FDA Pregnancy Category D; Black Box	warning for lymphomas and other malignancies; genotoxic in vitro and in vivo",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=mycophenolic+acid,http://www.drugbank.ca/drugs/DB01024
53654,nevirapine,oral tablet,"FDA Pregnancy Category B; in laboratory studies| hepatocellular adenomas and carcinomas at doses lower than human dose	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=nevirapine,http://www.drugbank.ca/drugs/DB00238
1370971,ospemifene,oral tablet,"Black Box warning on increased risk of endometrial cancer in certain populations;risk of adverse outcomes during pregnancy and labor; FDA Pregnancy Category X	",,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8462d6ab-e3cd-4efa-a360-75bf8f917287,http://www.drugbank.ca/drugs/DB04938
32624,oxcarbazepine,oral tablet,Tumors observed in laboratory studies at 1/10 MRHD; FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=oxcarbazepine,http://www.drugbank.ca/drugs/DB00776
196319,palifermin,injectable,FDA Pregnancy Category C;potential for stimulation oftumor growth,,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=426f6e64-2c20-4a61-6d65-7320426f6e64,http://www.drugbank.ca/drugs/DB00039
679314,paliperidone,oral tablet & injectable,Metabolite of risperidone; ex-creted in human breast milk;FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=paliperidone,http://www.drugbank.ca/drugs/DB01267
8149,phenoxybenzamine,oral tablet,IARC Group 2B; FDAPregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=phenoxybenzamine,http://www.drugbank.ca/drugs/DB00925
8183,phenytoin,oral tablet & injectable,IARC Group 2B; NTP***; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=phenytoin,http://www.drugbank.ca/drugs/DB00252
8727,progesterone,oral tablet,IARC Group 2B; NTP***,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=progesterone,http://www.drugbank.ca/drugs/DB00396
????,progestins,,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=PROGESTIN+%5BESTABLISHED+PHARMACOLOGIC+CLASS%5D,
8794,propylthiouracil,oral tablet,IARC Group 2B; NTP***; FDAPregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=propylthiouracil,http://www.drugbank.ca/drugs/DB00550
72143,raloxifene,oral tablet,"Abortion and developmental abnormalities seen at low doses in laboratory studies;	evidence of tumors at low doses in laboratory studies; FDA Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=raloxifene,http://www.drugbank.ca/drugs/DB00481
134748,rasagiline,oral tablet,FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=rasagiline,http://www.drugbank.ca/drugs/DB01367
35636,risperidone,oral tablet & injectable,"Evidence of tumors at low doses in laboratory studies;	may be prolactin-mediated; FDA Pregnancy Category C	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=risperidone,http://www.drugbank.ca/drugs/DB00734
35302,sirolimus,oral tablet,"AKA rapamycin; increased risk of lymphomas and other malignancies; embryotoxic and	fetotoxic at 0.2 human dose; FDA Pregnancy Category C",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=sirolimus,http://www.drugbank.ca/drugs/DB00877
9997,spironolactone,oral tablet,"FDA Pregnancy Category C; Black Box warning for tumoro-	genicity in laboratory studies",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=spironolactone,http://www.drugbank.ca/drugs/DB00421
42316,tacrolimus,oral tablet,Increased risk of lymphomasand other malignancies; reproductive effects seen in laboratory studies below the MRHD; excreted in breast milk; FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=tacrolimus,http://www.drugbank.ca/drugs/DB00864
1310520,teriflunomide,oral tablet,Black Box warning on severehepatotoxicity and terato-genicity| including majorbirth defects; FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4650d12c-b9c8-4525-b07f-a2d773eca155,http://www.drugbank.ca/drugs/DB08880
10432,thalidomide,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=thalidomide,http://www.drugbank.ca/drugs/DB01041
1357536,tofacitinib,oral tablet,Black Box warning for lympho-ma and other malignancies;FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=tofacitinib,http://www.drugbank.ca/drugs/DB08895
10996,uracil mustard,???,FDA Pregnancy Category D,,,http://www.drugbank.ca/drugs/DB00791
275891,valganciclovir,oral tablet,FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=valganciclovir,http://www.drugbank.ca/drugs/DB01610
11413,zidovudine,oral tablet,IARC Group 2B; FDAPregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=zidovudine,http://www.drugbank.ca/drugs/DB00495
16818,acitretin,oral pill,Black Box warning on adverse reproductive effects; FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=acitretin,http://www.drugbank.ca/drugs/DB00459
81864,alitretinoin,topical gel,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=alitretinoin,http://www.drugbank.ca/drugs/DB00523
358274,ambrisentan,oral tablet,Black Box warning on adverse reproductive effects; reduced sperm counts in patients; FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=725d4e73-6c83-477a-adc6-0ae4a133a844,http://www.drugbank.ca/drugs/DB06403
75207,bosentan,oral tablet,Black Box warning on adverse reproductive effects; Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=749e42fb-2fe0-45dd-9268-b43bb3f4081c,http://www.drugbank.ca/drugs/DB00559
47579,cabergoline,oral tablet,"Inhibition of conception and embryo fetal effects at doses below recommended human dose;	FDA Pregnancy Category B",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=cabergoline,http://www.drugbank.ca/drugs/DB00248
68147,cetrorelix,injectable,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aca7768e-28a7-4027-b1d8-e66247665f79,http://www.drugbank.ca/drugs/DB00050
4986,choriogonadotropin,injectable,FDA Pregnancy Category X; may cause fetal harm when administered to a pregnant woman,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=choriogonadotropin,http://www.drugbank.ca/drugs/DB00097
2596,clomiphene*,oral tablet,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=clomiphene,http://www.drugbank.ca/drugs/DB00882
2598,clonazepam,oral tablet,"Increased risk of congenital abnormalities when taken in first trimester; FDA Pregnancy Category D	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=clonazepam,http://www.drugbank.ca/drugs/DB01068
2683,colchicine,oral tablet,"FDA Pregnancy Category C; published animal reproduction and development studies indicate it causes embryofetal	toxicity| teratogenicity| and altered postnatal development at exposures within or above the clinical therapeutic range",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=colchicine,http://www.drugbank.ca/drugs/DB01394
3478,dinoprostone,oral tablet & injectable,Hazardous only for women in late pregnancy; FDA PregnancyCategory C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dinoprostone,http://www.drugbank.ca/drugs/DB00917
233698,dronedarone,oral tablet,Teratogenic in laboratory studies at ½ MRHD; FDA PregnancyCategory X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dronedarone,http://www.drugbank.ca/drugs/DB04855
228790,dutasteride,oral tablet,Women warned not to handle; FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=dutasteride,http://www.drugbank.ca/drugs/DB01126
1482502,eslicarbazepine,oral tablet,Fetal malformations| fetal growth retardation| embryo-lethality| and reduced body weights observed in animal studies; excreted in human breast milk; FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d0c9554-eaeb-4694-8089-00133fcadce3,http://www.drugbank.ca/drugs/DB09119
???,ergonovine/methylergonovine,,Use is contraindicated during pregnancy because of its utero-tonic effects; FDA PregnancyCategory C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ergonovine,http://www.drugbank.ca/drugs/DB01253; http://www.drugbank.ca/drugs/DB00353
25025,finasteride,oral tablet,"Women should not handle crushed or broken finasteride tablets when they are pregnant	or may potentially be pregnant|	due to potential risk to a male	fetus; FDA Pregnancy Category X	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=finasteride,http://www.drugbank.ca/drugs/DB01216
4450,fluconazole,oral tablet,"FDA Pregnancy Category C; case reports describe congenital anomalies in infants exposed in utero to maternal fluconazole	(400-800 mg/ day) during most or all of the first trimester| similar to those seen in animal studies	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=fluconazole,http://www.drugbank.ca/drugs/DB00196
35825,ganirelix,injectable,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=96118395-557e-4998-842d-424a59d574b6,http://www.drugbank.ca/drugs/DB06785
4986,gonadotropin| chorionic,injectable,Defects of forelimbs and central nervous system and alterations in sex ratio have been reported in laboratory studies; FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f93b2baa-03ac-4650-b35a-20b818d712d6,http://www.drugbank.ca/drugs/DB00097
1148138,icatibant,injectable,FDA Pregnancy Category C; in laboratory studies| premature birth and abortion rates increased at a dose that was less than 1/40th the MRHD| and delayed parturition and fetal death occurred at 0.5 and 2-fold| respectively| the MRHD,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ed6657ca-ab68-477a-9968-e12dc928b540,http://www.drugbank.ca/drugs/DB06196
1364479,lomitapide,oral tablet,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e4c45bb5-15f4-437e-ab98-a649b3676d14,http://www.drugbank.ca/drugs/DB08827
1442132,macitentan,oral tablet,"Black Box warning for embryo-fetal toxicity; special warnings on contraception for females	while taking and 1 month post-treatment; FDA Pregnancy Category X",,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e484a50-55db-4b85-8c57-6cd1b0353abd,http://www.drugbank.ca/drugs/DB08932
????,mentropins,,FDA Pregnancy Category X,,,http://www.drugbank.ca/drugs/DB00032
6904,methyltestosterone,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=methyltestosterone,http://www.drugbank.ca/drugs/DB06710
6964,mifepristone,oral tablet,When given to pregnant women| results in terminationof pregnancy; FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=542f3fae-8bc8-4f00-9228-e4b66c9ad6a9,http://www.drugbank.ca/drugs/DB00834
42331,misoprostol,oral tablet,FDA Pregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=misoprostol,http://www.drugbank.ca/drugs/DB00929
28656,nafarelin,inhalant,Note: Given only as nasal spray; no potential for occupationalexposure; FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d0aa57cb-d2f4-46d7-af43-7c8b06aa81a6,http://www.drugbank.ca/drugs/DB00666
7824,oxytocin,injectable,Hazardous only for women in 3rd trimester; FDA Pregnancy Category C,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=oxytocin,http://www.drugbank.ca/drugs/DB00107
11473,pamidronate,injectable,Embryo-fetal toxicities at doses below the recommended hu-man dose; FDA PregnancyCategory D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=pamidronate,http://www.drugbank.ca/drugs/DB00282
32937,paroxetine,oral tablet,Increased risk of congenital abnormalities when taken infirst trimester; complicationsin pregnancy when taken inthird trimester; FDA PregnancyCategory D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=paroxetine,http://www.drugbank.ca/drugs/DB00715
1364105,pasireotide,injectable,"Increased implantation loss and decreased viable fetuses| corpora lutea| and implantation	sites at doses less than the hu-	man recommended dose; FDA	Pregnancy Category C	",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=pasireotide,http://www.drugbank.ca/drugs/DB06663
132879,pentetate calcium trisodium,injectable,Severe teratogenic effects in laboratory studies in dogs; sup-plied in ampule| which can leadto occupational exposure; FDAPregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6052c707-a8a3-43a7-80c2-7ad1ad9391a4,
1248798,peginesatide,injectable,"Adverse embryo-fetal effects| including reduced fetal weight| increased resorption| embryofetal lethality| and cleft palate| observed in doses below the	recommended human dose;	FDA Pregnancy Category C",,https://dailymed.nlm.nih.gov/dailymed/archives/index.cfm?query=peginesatide&date=,http://www.drugbank.ca/drugs/DB08894
733003,plerixafor,injectable,Teratogenic in laboratory studies; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a56b1b78-0ae2-41b4-9c76-98ad9d439199,http://www.drugbank.ca/drugs/DB06809
9344,ribavirin,oral tablet,"Teratogenic and embryo-toxic effects in several laboratory studies; contraindicated in	women who are pregnant and in the male partners of women who are pregnant; FDA Pregnancy Category X",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ribavirin,http://www.drugbank.ca/drugs/DB00811
1439816,riociguat,oral tablet,Exclude pregnancy before the start of treatment| monthlyduring treatment| and 1 monthafter stopping treatment; FDAPregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7b57509a-3d5d-41d4-8fed-1471e26372a3,http://www.drugbank.ca/drugs/DB08931
473837,telavancin,injectable,"Black Box warning for potential risk to fetus and adverse repro-	ductive outcomes; reduced fetal	weights and increased rates of	digit and limb malformations in	three species at clinical doses; FDA Pregnancy Category C",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=telavancin,http://www.drugbank.ca/drugs/DB06402
10355,temazepam,oral tablet,Increased risk of congenital malformations associatedwith treatment during the firsttrimester of pregnancy; FDAPregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=temazepam,http://www.drugbank.ca/drugs/DB00231
10379,testosterone,oral tablet & injectable & topical gel,Children should avoid contact with unwashed or unclothedapplication sites on skin; FDAPregnancy Category X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=testosterone,http://www.drugbank.ca/drugs/DB00624
38404,topiramate,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=topiramate,http://www.drugbank.ca/drugs/DB00273
10753,tretinoin,oral tablet & topical gel,Black Box warning for severe birth defects; Special FDA distri-bution system; FDA PregnancyCategory X,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=tretinoin,http://www.drugbank.ca/drugs/DB00755
1005921,ulipristal,oral tablet,FDA Pregnancy Category X,,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6e3f9f23-1fd4-4e14-8fd8-4a67263df99c,
11118,valproate/valproic acid,oral tablet & injectable,Black Box warning for teratogenicity; congenital malformations| including neural tube defects; teratogenic in multiple species; FDA Pregnancy Category D,,http://dailymed.nlm.nih.gov/dailymed/search.cfm?startswith=valproate&x=0&y=0; http://dailymed.nlm.nih.gov/dailymed/search.cfm?startswith=valproic+acid&x=0&y=0,http://www.drugbank.ca/drugs/DB00313
14851,vigabatrin,oral tablet,Malformations seen in laboratory studies below the MRHD;FDA Pregnancy Category C,,http://dailymed.nlm.nih.gov/dailymed/search.cfm?startswith=vigabatrin&x=0&y=0,http://www.drugbank.ca/drugs/DB01080
121243,voriconazole,oral tablet & injectable,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=voriconazole,http://www.drugbank.ca/drugs/DB00582
11289,warfarin,oral tablet,FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=warfarin,http://www.drugbank.ca/drugs/DB00682
115698,ziprasidone,oral tablet,"Developmental toxicity| including possible teratogenic effects at doses similar to human thera-	peutic doses; an increase in the number of pups born dead and a decrease in postnatal survival	at less than MRHD; FDA Pregnancy Category C*",,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=ziprasidone,http://www.drugbank.ca/drugs/DB00246
77655,zoledronic acid,injectable,Number of stillbirths increased and survival of neonates de-creased in laboratory studiesat low doses; FDA Pregnancy Category D,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=zoledronic+acid,http://www.drugbank.ca/drugs/DB00399
39998,zonisamide,oral tablet,Teratogenic in multiple miscellaneous animal species; FDA,,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=zonisamide,http://www.drugbank.ca/drugs/DB00909
